"do_id","Term","available"
"DOID:0050742","nicotine dependence","T"
"DOID:0050745","diffuse large B-cell lymphoma","T"
"DOID:0050746","mantle cell lymphoma","T"
"DOID:0050749","peripheral T-cell lymphoma","T"
"DOID:0050753","cerebellar ataxia","T"
"DOID:0050759","myotonic dystrophy type 2","T"
"DOID:0050770","polycystic liver disease","T"
"DOID:0050771","pheochromocytoma","T"
"DOID:0050773","paraganglioma","T"
"DOID:0050776","non-syndromic X-linked intellectual disability","T"
"DOID:0050777","Joubert syndrome","T"
"DOID:0050778","Meckel syndrome","T"
"DOID:0050801","androgenic alopecia","T"
"DOID:0050811","congenital adrenal hyperplasia","T"
"DOID:0050817","Stargardt disease","T"
"DOID:0050820","atrioventricular block","T"
"DOID:0050835","generalized dystonia","T"
"DOID:0050836","focal dystonia","T"
"DOID:0050854","Muckle-Wells syndrome","T"
"DOID:0050857","Perrault syndrome","T"
"DOID:0050873","follicular lymphoma","T"
"DOID:0050882","spinocerebellar ataxia type 5","T"
"DOID:0050886","Troyer syndrome","T"
"DOID:0050902","medulloblastoma","T"
"DOID:0050905","inflammatory myofibroblastic tumor","T"
"DOID:0050908","myelodysplastic syndrome","T"
"DOID:0050951","hereditary ataxia","T"
"DOID:0050954","spinocerebellar ataxia type 1","T"
"DOID:0050955","spinocerebellar ataxia type 2","T"
"DOID:0050956","spinocerebellar ataxia type 6","T"
"DOID:0050958","spinocerebellar ataxia type 7","T"
"DOID:0050967","spinocerebellar ataxia type 17","T"
"DOID:0060010","Omenn syndrome","T"
"DOID:0060025","immunoglobulin alpha deficiency","T"
"DOID:0060041","autism spectrum disorder","T"
"DOID:0060058","lymphoma","T"
"DOID:0060060","non-Hodgkin lymphoma","T"
"DOID:0060061","primary cutaneous T-cell non-Hodgkin lymphoma","T"
"DOID:0060162","dentatorubral-pallidoluysian atrophy","T"
"DOID:0060167","seasonal affective disorder","T"
"DOID:0060169","benign familial infantile epilepsy","T"
"DOID:0060170","generalized epilepsy with febrile seizures plus","T"
"DOID:0060173","Timothy syndrome","T"
"DOID:0060180","colitis","T"
"DOID:0060188","jejunoileitis","T"
"DOID:0060189","ileitis","T"
"DOID:0060190","ileocolitis","T"
"DOID:0060191","gastroduodenal Crohn's disease","T"
"DOID:0060192","Crohn's colitis","T"
"DOID:0060193","amyotrophic lateral sclerosis type 1","T"
"DOID:0060194","amyotrophic lateral sclerosis type 2","T"
"DOID:0060196","amyotrophic lateral sclerosis type 4","T"
"DOID:0060213","frontotemporal dementia and/or amyotrophic lateral sclerosis-1","T"
"DOID:0060218","CREST syndrome","T"
"DOID:0060224","atrial fibrillation","T"
"DOID:0060227","Adams-Oliver syndrome","T"
"DOID:0060228","intracranial berry aneurysm","T"
"DOID:0060229","Baraitser-Winter syndrome","T"
"DOID:0060230","basal ganglia calcification","T"
"DOID:0060232","branchiootic syndrome","T"
"DOID:0060233","cardiofaciocutaneous syndrome","T"
"DOID:0060243","stuttering","T"
"DOID:0060245","Mast syndrome","T"
"DOID:0060249","scoliosis","T"
"DOID:0060253","scapuloperoneal myopathy","T"
"DOID:0060254","Robinow syndrome","T"
"DOID:0060255","rippling muscle disease 2","T"
"DOID:0060256","Dowling-Degos disease","T"
"DOID:0060258","reticulate acropigmentation of Kitamura","T"
"DOID:0060263","porencephaly","T"
"DOID:0060264","pontocerebellar hypoplasia","T"
"DOID:0060265","pontocerebellar hypoplasia type 1A","T"
"DOID:0060266","pontocerebellar hypoplasia type 1B","T"
"DOID:0060267","pontocerebellar hypoplasia type 2A","T"
"DOID:0060270","pontocerebellar hypoplasia type 2D","T"
"DOID:0060276","pontocerebellar hypoplasia type 7","T"
"DOID:0060277","pontocerebellar hypoplasia type 8","T"
"DOID:0060278","pontocerebellar hypoplasia type 9","T"
"DOID:0060287","cornea plana","T"
"DOID:0060295","complement component 2 deficiency","T"
"DOID:0060297","complement component 4a deficiency","T"
"DOID:0060298","complement component 4b deficiency","T"
"DOID:0060299","complement component 6 deficiency","T"
"DOID:0060300","complement component 7 deficiency","T"
"DOID:0060301","type I complement component 8 deficiency","T"
"DOID:0060302","type II complement component 8 deficiency","T"
"DOID:0060303","complement component 9 deficiency","T"
"DOID:0060306","Meier-Gorlin syndrome","T"
"DOID:0060308","autosomal recessive intellectual developmental disorder","T"
"DOID:0060316","orofaciodigital syndrome I","T"
"DOID:0060318","acute promyelocytic leukemia","T"
"DOID:0060319","cardiac arrest","T"
"DOID:0060326","myelomeningocele","T"
"DOID:0060334","transient neonatal diabetes mellitus","T"
"DOID:0060359","Sakati-Nyhan syndrome","T"
"DOID:0060364","Galloway-Mowat syndrome 1","T"
"DOID:0060368","Parkinson's disease 2","T"
"DOID:0060376","Joubert syndrome with orofaciodigital defect","T"
"DOID:0060380","orofaciodigital syndrome X","T"
"DOID:0060410","chromosome 1p36 deletion syndrome","T"
"DOID:0060457","posterior polymorphous corneal dystrophy","T"
"DOID:0060467","humeroradial synostosis","T"
"DOID:0060468","Holt-Oram syndrome","T"
"DOID:0060469","Miller-Dieker lissencephaly syndrome","T"
"DOID:0060474","familial erythrocytosis 2","T"
"DOID:0060476","Perlman syndrome","T"
"DOID:0060480","left ventricular noncompaction","T"
"DOID:0060491","SPOAN syndrome","T"
"DOID:0060536","mitochondrial complex I deficiency","T"
"DOID:0060538","purpura fulminans","T"
"DOID:0060578","Noonan syndrome 1","T"
"DOID:0060580","Noonan syndrome 2","T"
"DOID:0060581","Noonan syndrome 3","T"
"DOID:0060582","Noonan syndrome 4","T"
"DOID:0060583","Noonan syndrome 5","T"
"DOID:0060584","Noonan syndrome 6","T"
"DOID:0060585","Noonan syndrome 7","T"
"DOID:0060586","Noonan syndrome 8","T"
"DOID:0060587","Noonan syndrome 9","T"
"DOID:0060588","Noonan syndrome 10","T"
"DOID:0060597","atypical chronic myeloid leukemia, BCR-ABL1 negative","T"
"DOID:0060608","microcephalic osteodysplastic primordial dwarfism type I","T"
"DOID:0060609","microcephalic osteodysplastic primordial dwarfism type II","T"
"DOID:0060610","megacystis-microcolon-intestinal hypoperistalsis syndrome","T"
"DOID:0060639","permanent neonatal diabetes mellitus","T"
"DOID:0060643","primary sclerosing cholangitis","T"
"DOID:0060648","anterior segment dysgenesis","T"
"DOID:0060652","familial erythrocytosis 1","T"
"DOID:0060655","autosomal recessive congenital ichthyosis","T"
"DOID:0060656","autosomal recessive congenital ichthyosis 1","T"
"DOID:0060672","Grn-related frontotemporal lobar degeneration with Tdp43 inclusions","T"
"DOID:0060673","Peters anomaly","T"
"DOID:0060674","catecholaminergic polymorphic ventricular tachycardia","T"
"DOID:0060675","catecholaminergic polymorphic ventricular tachycardia 1","T"
"DOID:0060676","catecholaminergic polymorphic ventricular tachycardia 2","T"
"DOID:0060677","catecholaminergic polymorphic ventricular tachycardia 3","T"
"DOID:0060678","catecholaminergic polymorphic ventricular tachycardia 4","T"
"DOID:0060679","catecholaminergic polymorphic ventricular tachycardia 5","T"
"DOID:0060681","autosomal dominant nocturnal frontal lobe epilepsy","T"
"DOID:0060690","autosomal dominant auditory neuropathy 1","T"
"DOID:0060691","platelet-type bleeding disorder 16","T"
"DOID:0060695","hyperekplexia","T"
"DOID:0060696","hyperekplexia 1","T"
"DOID:0060697","hyperekplexia 2","T"
"DOID:0060698","hyperekplexia 3","T"
"DOID:0060707","lymphoproliferative syndrome 1","T"
"DOID:0060708","lymphoproliferative syndrome 2","T"
"DOID:0060710","autosomal recessive congenital ichthyosis 2","T"
"DOID:0060711","autosomal recessive congenital ichthyosis 3","T"
"DOID:0060712","autosomal recessive congenital ichthyosis 4A","T"
"DOID:0060714","autosomal recessive congenital ichthyosis 5","T"
"DOID:0060715","autosomal recessive congenital ichthyosis 6","T"
"DOID:0060716","autosomal recessive congenital ichthyosis 7","T"
"DOID:0060717","autosomal recessive congenital ichthyosis 8","T"
"DOID:0060718","autosomal recessive congenital ichthyosis 9","T"
"DOID:0060719","autosomal recessive congenital ichthyosis 10","T"
"DOID:0060730","torsion dystonia 1","T"
"DOID:0060731","congenital central hypoventilation syndrome","T"
"DOID:0060735","epidermolysis bullosa simplex Dowling-Meara type","T"
"DOID:0060736","epidermolysis bullosa simplex Ogna type","T"
"DOID:0060738","junctional epidermolysis bullosa non-Herlitz type","T"
"DOID:0060745","Doyne honeycomb retinal dystrophy","T"
"DOID:0060746","basal laminar drusen","T"
"DOID:0060766","autosomal dominant Robinow syndrome 1","T"
"DOID:0060807","syndromic X-linked intellectual disability Najm type","T"
"DOID:0060831","Griscelli syndrome","T"
"DOID:0060835","isolated microphthalmia 6","T"
"DOID:0060836","isolated microphthalmia 4","T"
"DOID:0060838","isolated microphthalmia 7","T"
"DOID:0060839","isolated microphthalmia 2","T"
"DOID:0060840","isolated microphthalmia 1","T"
"DOID:0060841","isolated microphthalmia 8","T"
"DOID:0060842","isolated microphthalmia 3","T"
"DOID:0060854","autosomal recessive pseudohypoaldosteronism type 1","T"
"DOID:0060855","autosomal dominant pseudohypoaldosteronism type 1","T"
"DOID:0060856","right atrial isomerism","T"
"DOID:0060857","septooptic dysplasia","T"
"DOID:0060861","microphthalmia with limb anomalies","T"
"DOID:0060862","mal de Meleda","T"
"DOID:0060863","patterned macular dystrophy","T"
"DOID:0060868","leukoencephalopathy with vanishing white matter","T"
"DOID:0060870","isolated growth hormone deficiency","T"
"DOID:0060872","isolated growth hormone deficiency type II","T"
"DOID:0060873","isolated growth hormone deficiency type IA","T"
"DOID:0060874","isolated growth hormone deficiency type IB","T"
"DOID:0060875","isolated growth hormone deficiency type III","T"
"DOID:0060891","Parkinson's disease 19A","T"
"DOID:0060892","late onset Parkinson's disease","T"
"DOID:0060895","Parkinson's disease 4","T"
"DOID:0060896","Parkinson's disease 23","T"
"DOID:0060903","thrombosis","T"
"DOID:0070025","X-linked dyskeratosis congenita","T"
"DOID:0070042","Coffin-Siris syndrome 1","T"
"DOID:0070070","autosomal dominant intellectual developmental disorder 40","T"
"DOID:0070115","Meckel syndrome 1","T"
"DOID:0070116","Meckel syndrome 2","T"
"DOID:0070117","Meckel syndrome 3","T"
"DOID:0070118","Meckel syndrome 4","T"
"DOID:0070119","Meckel syndrome 5","T"
"DOID:0070120","Meckel syndrome 6","T"
"DOID:0070122","Meckel syndrome 8","T"
"DOID:0070123","congenital nongoitrous hypothyroidism 4","T"
"DOID:0070124","congenital nongoitrous hypothyroidism 2","T"
"DOID:0070125","congenital nongoitrous hypothyroidism 5","T"
"DOID:0070126","congenital nongoitrous hypothyroidism 1","T"
"DOID:0070127","congenital nongoitrous hypothyroidism 3","T"
"DOID:0070128","congenital nongoitrous hypothyroidism 6","T"
"DOID:0070129","autosomal recessive cutis laxa type IID","T"
"DOID:0070130","autosomal dominant cutis laxa 1","T"
"DOID:0070131","autosomal dominant cutis laxa 3","T"
"DOID:0070132","autosomal recessive cutis laxa type IIIA","T"
"DOID:0070133","autosomal recessive cutis laxa type IB","T"
"DOID:0070134","autosomal recessive cutis laxa type IIA","T"
"DOID:0070135","autosomal recessive cutis laxa type IA","T"
"DOID:0070136","autosomal dominant cutis laxa 2","T"
"DOID:0070137","autosomal recessive cutis laxa type IIB","T"
"DOID:0070138","autosomal recessive cutis laxa type IIIB","T"
"DOID:0070140","autosomal recessive cutis laxa type IIC","T"
"DOID:0070141","autosomal recessive cutis laxa type II classic type","T"
"DOID:0070142","autosomal dominant cutis laxa","T"
"DOID:0070145","hereditary sensory and autonomic neuropathy type 5","T"
"DOID:0070152","hereditary sensory and autonomic neuropathy type 1A","T"
"DOID:0070161","hereditary sensory and autonomic neuropathy type 2","T"
"DOID:0070162","hereditary sensory and autonomic neuropathy type 1","T"
"DOID:0070186","Y-linked spermatogenic failure 1","T"
"DOID:0070187","Y-linked spermatogenic failure 2","T"
"DOID:0070202","familial partial lipodystrophy type 2","T"
"DOID:0070204","familial partial lipodystrophy type 3","T"
"DOID:0070207","familial partial lipodystrophy type 1","T"
"DOID:0070210","hereditary lymphedema IA","T"
"DOID:0070212","hereditary lymphedema I","T"
"DOID:0070227","intrahepatic cholestasis of pregnancy","T"
"DOID:0070235","Loeys-Dietz syndrome 1","T"
"DOID:0070246","X-linked Emery-Dreifuss muscular dystrophy 1","T"
"DOID:0070247","autosomal dominant Emery-Dreifuss muscular dystrophy 2","T"
"DOID:0070271","Lynch syndrome 1","T"
"DOID:0070274","hereditary nonpolyposis colorectal cancer type 2","T"
"DOID:0070296","primary autosomal recessive microcephaly","T"
"DOID:0070309","absence epilepsy","T"
"DOID:0070328","adult hepatocellular carcinoma","T"
"DOID:0080001","bone disease","T"
"DOID:0080011","bone resorption disease","T"
"DOID:0080016","spina bifida","T"
"DOID:0080033","craniometaphyseal dysplasia","T"
"DOID:0080036","SOST-related sclerosing bone dysplasia","T"
"DOID:0080046","Stickler syndrome","T"
"DOID:0080067","Charcot-Marie-Tooth disease type 5","T"
"DOID:0080089","tubular aggregate myopathy 1","T"
"DOID:0080092","myofibrillar myopathy 1","T"
"DOID:0080094","myofibrillar myopathy 3","T"
"DOID:0080102","congenital fiber-type disproportion","T"
"DOID:0080110","multiple pterygium syndrome","T"
"DOID:0080141","mosaic variegated aneuploidy syndrome 1","T"
"DOID:0080144","childhood acute lymphocytic leukemia","T"
"DOID:0080147","lymphoblastic lymphoma","T"
"DOID:0080156","X-linked adrenal hypoplasia congenita","T"
"DOID:0080178","mucositis","T"
"DOID:0080188","chronic myelomonocytic leukemia","T"
"DOID:0080190","malignant epithelioid hemangioendothelioma","T"
"DOID:0080199","colorectal carcinoma","T"
"DOID:0080200","bilateral renal aplasia","T"
"DOID:0080202","adenoid cystic carcinoma","T"
"DOID:0080205","CAKUT","T"
"DOID:0080212","polycystic kidney disease 4","T"
"DOID:0080221","obsolete major affective disorder 2","T"
"DOID:0080223","epidermolytic palmoplantar keratoderma","T"
"DOID:0080301","atypical hemolytic-uremic syndrome","T"
"DOID:0080307","myofibrillar myopathy","T"
"DOID:0080326","familial hypertrophic cardiomyopathy","T"
"DOID:0080332","bicuspid aortic valve disease","T"
"DOID:0080333","aortic valve disease 1","T"
"DOID:0080334","aortic valve disease 2","T"
"DOID:0080348","Alzheimer's disease 1","T"
"DOID:0080350","retinitis pigmentosa 77","T"
"DOID:0080351","CLOVES syndrome","T"
"DOID:0080362","X-linked spondyloepiphyseal dysplasia tarda","T"
"DOID:0080365","endometrial hyperplasia","T"
"DOID:0080379","nephrotic syndrome type 2","T"
"DOID:0080388","nephrotic syndrome type 7","T"
"DOID:0080409","familial adenomatous polyposis 1","T"
"DOID:0080422","Dravet syndrome","T"
"DOID:0080468","developmental and epileptic encephalopathy 1","T"
"DOID:0080476","peroxisome biogenesis disorder 1A","T"
"DOID:0080493","ovarian dysgenesis 1","T"
"DOID:0080505","Cornelia de Lange syndrome 1","T"
"DOID:0080506","Cornelia de Lange syndrome 2","T"
"DOID:0080507","Cornelia de Lange syndrome 3","T"
"DOID:0080512","Meier-Gorlin syndrome 1","T"
"DOID:0080531","dedifferentiated liposarcoma","T"
"DOID:0080533","Carney-Stratakis syndrome","T"
"DOID:0080548","Noonan syndrome with multiple lentigines 1","T"
"DOID:0080568","congenital disorder of glycosylation Iq","T"
"DOID:0090001","Fraser syndrome","T"
"DOID:0090003","agenesis of the corpus callosum with peripheral neuropathy","T"
"DOID:0090005","Schwartz-Jampel syndrome 1","T"
"DOID:0090015","Cenani-Lenz syndactyly syndrome","T"
"DOID:0090017","epidermolysis bullosa simplex with muscular dystrophy","T"
"DOID:0090020","split hand-foot malformation","T"
"DOID:0090021","split hand-foot malformation 1","T"
"DOID:0090022","split hand-foot malformation 5","T"
"DOID:0090023","split hand-foot malformation 4","T"
"DOID:0090024","split hand-foot malformation 1 with sensorineural hearing loss","T"
"DOID:0090025","split hand-foot malformation 3","T"
"DOID:0090026","split hand-foot malformation 6","T"
"DOID:0090027","split hand-foot malformation 2","T"
"DOID:0090034","myoclonic dystonia 11","T"
"DOID:0090037","torsion dystonia 13","T"
"DOID:0090038","torsion dystonia 2","T"
"DOID:0090039","torsion dystonia 6","T"
"DOID:0090041","torsion dystonia 4","T"
"DOID:0090042","torsion dystonia 17","T"
"DOID:0090043","dystonia 5","T"
"DOID:0090046","dystonia 21","T"
"DOID:0090048","dystonia 16","T"
"DOID:0090050","dystonia 27","T"
"DOID:0090055","dystonia 25","T"
"DOID:0090056","dystonia 12","T"
"DOID:0090057","X-linked dystonia-parkinsonism","T"
"DOID:0090058","torsion dystonia with onset in infancy","T"
"DOID:0090070","hypogonadotropic hypogonadism","T"
"DOID:0090071","hypogonadotropic hypogonadism 11 with or without anosmia","T"
"DOID:0090072","hypogonadotropic hypogonadism 12 with or without anosmia","T"
"DOID:0090073","hypogonadotropic hypogonadism 13 with or without anosmia","T"
"DOID:0090074","hypogonadotropic hypogonadism 8 with or without anosmia","T"
"DOID:0090076","hypogonadotropic hypogonadism 18 with or without anosmia","T"
"DOID:0090077","hypogonadotropic hypogonadism 4 with or without anosmia","T"
"DOID:0090078","hypogonadotropic hypogonadism 7 with or without anosmia","T"
"DOID:0090079","hypogonadotropic hypogonadism 17 with or without anosmia","T"
"DOID:0090080","hypogonadotropic hypogonadism 16 with or without anosmia","T"
"DOID:0090081","hypogonadotropic hypogonadism 22 with or without anosmia","T"
"DOID:0090082","hypogonadotropic hypogonadism 20 with or without anosmia","T"
"DOID:0090083","hypogonadotropic hypogonadism 2 with or without anosmia","T"
"DOID:0090084","hypogonadotropic hypogonadism 5 with or without anosmia","T"
"DOID:0090085","hypogonadotropic hypogonadism 9 with or without anosmia","T"
"DOID:0090086","hypogonadotropic hypogonadism 6 with or without anosmia","T"
"DOID:0090087","hypogonadotropic hypogonadism 14 with or without anosmia","T"
"DOID:0090089","hypogonadotropic hypogonadism 10 with or without anosmia","T"
"DOID:0090090","hypogonadotropic hypogonadism 19 with or without anosmia","T"
"DOID:0090092","hypogonadotropic hypogonadism 3 with or without anosmia","T"
"DOID:0090093","hypogonadotropic hypogonadism 21 with or without anosmia","T"
"DOID:0090094","hypogonadotropic hypogonadism 1 with or without anosmia","T"
"DOID:0090102","autosomal dominant macrothrombocytopenia TUBB1-related","T"
"DOID:0090103","Huntington's disease-like 1","T"
"DOID:0090104","Huntington's disease-like 2","T"
"DOID:0090119","ankyloblepharon-ectodermal defects-cleft lip/palate syndrome","T"
"DOID:0090122","aromatase excess syndrome","T"
"DOID:0090130","cortical dysplasia-focal epilepsy syndrome","T"
"DOID:0090132","complex cortical dysplasia with other brain malformations 7","T"
"DOID:0090137","complex cortical dysplasia with other brain malformations 1","T"
"DOID:0090142","cystathioninuria","T"
"DOID:0110005","Leber congenital amaurosis 9","T"
"DOID:0110016","Leber congenital amaurosis 2","T"
"DOID:0110032","autosomal dominant Alport syndrome","T"
"DOID:0110033","autosomal recessive Alport syndrome","T"
"DOID:0110034","X-linked Alport syndrome","T"
"DOID:0110035","Alzheimer's disease 2","T"
"DOID:0110037","Alzheimer's disease 5","T"
"DOID:0110038","Alzheimer's disease 6","T"
"DOID:0110039","Alzheimer's disease 7","T"
"DOID:0110041","Alzheimer's disease 8","T"
"DOID:0110043","Alzheimer's disease 10","T"
"DOID:0110044","Alzheimer's disease 11","T"
"DOID:0110045","Alzheimer's disease 12","T"
"DOID:0110046","Alzheimer's disease 13","T"
"DOID:0110047","Alzheimer's disease 14","T"
"DOID:0110048","Alzheimer's disease 15","T"
"DOID:0110052","amelogenesis imperfecta type 1B","T"
"DOID:0110053","amelogenesis imperfecta type 4","T"
"DOID:0110054","amelogenesis imperfecta type 1A","T"
"DOID:0110055","amelogenesis imperfecta type 3A","T"
"DOID:0110056","amelogenesis imperfecta type 1C","T"
"DOID:0110057","amelogenesis imperfecta type 2A1","T"
"DOID:0110058","amelogenesis imperfecta type 1E","T"
"DOID:0110059","X-linked amelogenesis imperfecta hypoplastic/hypomaturation 2","T"
"DOID:0110060","amelogenesis imperfecta hypomaturation type 2A2","T"
"DOID:0110061","amelogenesis imperfecta hypomaturation type 2A3","T"
"DOID:0110062","amelogenesis imperfecta hypomaturation type 2A4","T"
"DOID:0110063","amelogenesis imperfecta hypomaturation type 2A5","T"
"DOID:0110064","amelogenesis imperfecta type 1H","T"
"DOID:0110065","amelogenesis imperfecta type 1F","T"
"DOID:0110066","amelogenesis imperfecta type 1G","T"
"DOID:0110071","arrhythmogenic right ventricular dysplasia 2","T"
"DOID:0110078","Leber congenital amaurosis 1","T"
"DOID:0110079","Leber congenital amaurosis 8","T"
"DOID:0110080","Leber congenital amaurosis 12","T"
"DOID:0110085","asphyxiating thoracic dystrophy 1","T"
"DOID:0110087","asphyxiating thoracic dystrophy 3","T"
"DOID:0110092","short-rib thoracic dysplasia 6 with or without polydactyly","T"
"DOID:0110096","short-rib thoracic dysplasia 14 with polydactyly","T"
"DOID:0110106","atrial heart septal defect 1","T"
"DOID:0110107","atrial heart septal defect 2","T"
"DOID:0110108","atrial heart septal defect 3","T"
"DOID:0110109","atrial heart septal defect 4","T"
"DOID:0110110","atrial heart septal defect 5","T"
"DOID:0110111","atrial heart septal defect 6","T"
"DOID:0110112","atrial heart septal defect 7","T"
"DOID:0110113","atrial heart septal defect 8","T"
"DOID:0110114","atrial heart septal defect 9","T"
"DOID:0110115","autoimmune lymphoproliferative syndrome type 2A","T"
"DOID:0110116","autoimmune lymphoproliferative syndrome type 2B","T"
"DOID:0110118","Leber congenital amaurosis 16","T"
"DOID:0110119","autoimmune lymphoproliferative syndrome type 3","T"
"DOID:0110123","Bardet-Biedl syndrome 1","T"
"DOID:0110124","Bardet-Biedl syndrome 2","T"
"DOID:0110125","Bardet-Biedl syndrome 3","T"
"DOID:0110126","Bardet-Biedl syndrome 4","T"
"DOID:0110127","Bardet-Biedl syndrome 5","T"
"DOID:0110128","Bardet-Biedl syndrome 6","T"
"DOID:0110129","Bardet-Biedl syndrome 7","T"
"DOID:0110130","Bardet-Biedl syndrome 8","T"
"DOID:0110131","Bardet-Biedl syndrome 9","T"
"DOID:0110132","Bardet-Biedl syndrome 10","T"
"DOID:0110133","Bardet-Biedl syndrome 11","T"
"DOID:0110134","Bardet-Biedl syndrome 12","T"
"DOID:0110135","Bardet-Biedl syndrome 13","T"
"DOID:0110136","Bardet-Biedl syndrome 14","T"
"DOID:0110137","Bardet-Biedl syndrome 15","T"
"DOID:0110138","Bardet-Biedl syndrome 16","T"
"DOID:0110139","Bardet-Biedl syndrome 17","T"
"DOID:0110140","Bardet-Biedl syndrome 18","T"
"DOID:0110141","Bardet-Biedl syndrome 19","T"
"DOID:0110148","Charcot-Marie-Tooth disease type 1A","T"
"DOID:0110149","Charcot-Marie-Tooth disease type 1F","T"
"DOID:0110150","Charcot-Marie-Tooth disease type 1D","T"
"DOID:0110151","Charcot-Marie-Tooth disease type 1C","T"
"DOID:0110152","Charcot-Marie-Tooth disease type 1B","T"
"DOID:0110153","Charcot-Marie-Tooth disease type 1E","T"
"DOID:0110154","Charcot-Marie-Tooth disease type 2A1","T"
"DOID:0110155","Charcot-Marie-Tooth disease type 2A2A","T"
"DOID:0110156","Charcot-Marie-Tooth disease type 2B1","T"
"DOID:0110157","Charcot-Marie-Tooth disease type 2J","T"
"DOID:0110158","Charcot-Marie-Tooth disease type 2I","T"
"DOID:0110159","Charcot-Marie-Tooth disease type 2B","T"
"DOID:0110160","Charcot-Marie-Tooth disease axonal type 2T","T"
"DOID:0110161","Charcot-Marie-Tooth disease type 2R","T"
"DOID:0110163","Charcot-Marie-Tooth disease axonal type 2F","T"
"DOID:0110164","Charcot-Marie-Tooth disease type 2D","T"
"DOID:0110165","Charcot-Marie-Tooth disease type 2E","T"
"DOID:0110166","Charcot-Marie-Tooth disease axonal type 2H","T"
"DOID:0110167","Charcot-Marie-Tooth disease axonal type 2K","T"
"DOID:0110168","Charcot-Marie-Tooth disease type 2Y","T"
"DOID:0110169","Charcot-Marie-Tooth disease axonal type 2P","T"
"DOID:0110170","Charcot-Marie-Tooth disease axonal type 2Q","T"
"DOID:0110173","Charcot-Marie-Tooth disease axonal type 2U","T"
"DOID:0110174","Charcot-Marie-Tooth disease axonal type 2L","T"
"DOID:0110175","Charcot-Marie-Tooth disease axonal type 2O","T"
"DOID:0110177","Charcot-Marie-Tooth disease axonal type 2N","T"
"DOID:0110179","Charcot-Marie-Tooth disease type 2B2","T"
"DOID:0110182","Charcot-Marie-Tooth disease axonal type 2C","T"
